user_id,experiment_group,assigned_at,experiment_name
U000001,control,2026-02-07,smart_onboarding_v1
U000002,control,2026-05-27,smart_onboarding_v1
U000003,control,2026-03-13,smart_onboarding_v1
U000004,smart_onboarding,2026-02-05,smart_onboarding_v1
U000005,control,2026-04-29,smart_onboarding_v1
U000006,smart_onboarding,2026-06-03,smart_onboarding_v1
U000007,control,2026-02-06,smart_onboarding_v1
U000008,smart_onboarding,2026-02-27,smart_onboarding_v1
U000009,control,2026-02-16,smart_onboarding_v1
U000010,control,2026-06-13,smart_onboarding_v1
U000011,smart_onboarding,2026-03-27,smart_onboarding_v1
U000012,smart_onboarding,2026-06-26,smart_onboarding_v1
U000013,control,2026-03-01,smart_onboarding_v1
U000014,control,2026-05-16,smart_onboarding_v1
U000015,smart_onboarding,2026-01-24,smart_onboarding_v1
U000016,smart_onboarding,2026-01-27,smart_onboarding_v1
U000017,control,2026-03-05,smart_onboarding_v1
U000018,control,2026-03-18,smart_onboarding_v1
U000019,smart_onboarding,2026-04-15,smart_onboarding_v1
U000020,control,2026-06-14,smart_onboarding_v1
U000021,smart_onboarding,2026-04-11,smart_onboarding_v1
U000022,control,2026-01-04,smart_onboarding_v1
U000023,control,2026-01-29,smart_onboarding_v1
U000024,smart_onboarding,2026-03-07,smart_onboarding_v1
U000025,smart_onboarding,2026-03-20,smart_onboarding_v1
U000026,control,2026-03-07,smart_onboarding_v1
U000027,smart_onboarding,2026-05-09,smart_onboarding_v1
U000028,smart_onboarding,2026-02-09,smart_onboarding_v1
U000029,smart_onboarding,2026-01-19,smart_onboarding_v1
U000030,control,2026-03-15,smart_onboarding_v1
U000031,control,2026-03-28,smart_onboarding_v1
U000032,control,2026-03-09,smart_onboarding_v1
U000033,control,2026-01-17,smart_onboarding_v1
U000034,control,2026-01-20,smart_onboarding_v1
U000035,smart_onboarding,2026-02-10,smart_onboarding_v1
U000036,smart_onboarding,2026-01-31,smart_onboarding_v1
U000037,control,2026-03-13,smart_onboarding_v1
U000038,control,2026-06-08,smart_onboarding_v1
U000039,smart_onboarding,2026-05-26,smart_onboarding_v1
U000040,smart_onboarding,2026-06-26,smart_onboarding_v1
U000041,control,2026-03-08,smart_onboarding_v1
U000042,smart_onboarding,2026-05-13,smart_onboarding_v1
U000043,control,2026-03-28,smart_onboarding_v1
U000044,control,2026-01-16,smart_onboarding_v1
U000045,smart_onboarding,2026-03-09,smart_onboarding_v1
U000046,control,2026-05-31,smart_onboarding_v1
U000047,control,2026-03-06,smart_onboarding_v1
U000048,control,2026-01-14,smart_onboarding_v1
U000049,control,2026-05-05,smart_onboarding_v1
U000050,control,2026-02-18,smart_onboarding_v1
U000051,smart_onboarding,2026-02-05,smart_onboarding_v1
U000052,smart_onboarding,2026-05-12,smart_onboarding_v1
U000053,smart_onboarding,2026-02-15,smart_onboarding_v1
U000054,smart_onboarding,2026-01-17,smart_onboarding_v1
U000055,smart_onboarding,2026-05-15,smart_onboarding_v1
U000056,control,2026-04-22,smart_onboarding_v1
U000057,smart_onboarding,2026-04-23,smart_onboarding_v1
U000058,control,2026-05-12,smart_onboarding_v1
U000059,smart_onboarding,2026-04-07,smart_onboarding_v1
U000060,control,2026-02-06,smart_onboarding_v1
U000061,control,2026-03-05,smart_onboarding_v1
U000062,smart_onboarding,2026-06-24,smart_onboarding_v1
U000063,smart_onboarding,2026-04-10,smart_onboarding_v1
U000064,smart_onboarding,2026-06-02,smart_onboarding_v1
U000065,smart_onboarding,2026-01-31,smart_onboarding_v1
U000066,smart_onboarding,2026-06-28,smart_onboarding_v1
U000067,smart_onboarding,2026-03-30,smart_onboarding_v1
U000068,smart_onboarding,2026-06-24,smart_onboarding_v1
U000069,control,2026-04-07,smart_onboarding_v1
U000070,smart_onboarding,2026-04-12,smart_onboarding_v1
U000071,smart_onboarding,2026-04-04,smart_onboarding_v1
U000072,control,2026-05-26,smart_onboarding_v1
U000073,smart_onboarding,2026-05-19,smart_onboarding_v1
U000074,smart_onboarding,2026-03-07,smart_onboarding_v1
U000075,smart_onboarding,2026-06-02,smart_onboarding_v1
U000076,smart_onboarding,2026-01-25,smart_onboarding_v1
U000077,smart_onboarding,2026-03-13,smart_onboarding_v1
U000078,control,2026-02-07,smart_onboarding_v1
U000079,control,2026-06-17,smart_onboarding_v1
U000080,control,2026-01-06,smart_onboarding_v1
U000081,control,2026-03-13,smart_onboarding_v1
