date,channel,spend
2026-01-01,paid_search,11573.78
2026-01-01,paid_social,14822.77
2026-01-01,email,1973.6
2026-01-01,referral,2088.98
2026-01-01,influencer,7130.17
2026-01-02,paid_search,13518.94
2026-01-02,paid_social,14296.73
2026-01-02,email,2024.16
2026-01-02,referral,2761.15
2026-01-02,influencer,6294.89
2026-01-03,paid_search,10379.81
2026-01-03,paid_social,17789.03
2026-01-03,email,2095.45
2026-01-03,referral,2675.8
2026-01-03,influencer,6954.4
2026-01-04,paid_search,12524.73
2026-01-04,paid_social,13213.25
2026-01-04,email,995.81
2026-01-04,referral,1860.56
2026-01-04,influencer,8805.43
2026-01-05,paid_search,14523.57
2026-01-05,paid_social,14290.25
2026-01-05,email,1629.66
2026-01-05,referral,2511.94
2026-01-05,influencer,6550.9
2026-01-06,paid_search,14821.7
2026-01-06,paid_social,11057.98
2026-01-06,email,1695.2
2026-01-06,referral,3854.43
2026-01-06,influencer,6892.12
2026-01-07,paid_search,11684.14
2026-01-07,paid_social,12394.13
2026-01-07,email,2281.33
2026-01-07,referral,3599.65
2026-01-07,influencer,6421.11
2026-01-08,paid_search,13997.88
2026-01-08,paid_social,12744.87
2026-01-08,email,2217.12
2026-01-08,referral,3878.53
2026-01-08,influencer,7005.36
2026-01-09,paid_search,17916.5
2026-01-09,paid_social,14243.71
2026-01-09,email,1437.12
2026-01-09,referral,4095.11
2026-01-09,influencer,5252.85
2026-01-10,paid_search,10539.91
2026-01-10,paid_social,13006.55
2026-01-10,email,1980.66
2026-01-10,referral,3816.52
2026-01-10,influencer,6126.38
2026-01-11,paid_search,14823.09
2026-01-11,paid_social,10906.32
2026-01-11,email,1667.93
2026-01-11,referral,4550.22
2026-01-11,influencer,4666.78
2026-01-12,paid_search,18286.28
2026-01-12,paid_social,19261.0
2026-01-12,email,1434.99
2026-01-12,referral,2926.47
2026-01-12,influencer,6405.08
2026-01-13,paid_search,15645.19
2026-01-13,paid_social,12255.15
2026-01-13,email,2422.64
2026-01-13,referral,4320.63
2026-01-13,influencer,4657.38
2026-01-14,paid_search,18004.57
2026-01-14,paid_social,16130.66
2026-01-14,email,1424.15
2026-01-14,referral,2934.3
2026-01-14,influencer,7277.54
2026-01-15,paid_search,15722.01
2026-01-15,paid_social,10676.89
2026-01-15,email,2227.46
2026-01-15,referral,3320.59
2026-01-15,influencer,6471.52
2026-01-16,paid_search,10170.12
2026-01-16,paid_social,9598.08
2026-01-16,email,1963.95
2026-01-16,referral,3305.06
2026-01-16,influencer,6005.93
2026-01-17,paid_search,13361.48
2026-01-17,paid_social,10550.18
2026-01-17,email,1248.99
2026-01-17,referral,2879.78
2026-01-17,influencer,8023.94
2026-01-18,paid_search,14511.77
2026-01-18,paid_social,9265.78
2026-01-18,email,2266.36
2026-01-18,referral,4284.07
2026-01-18,influencer,5505.92
2026-01-19,paid_search,17372.98
2026-01-19,paid_social,17225.11
2026-01-19,email,1849.67
2026-01-19,referral,3097.52
2026-01-19,influencer,8094.62
2026-01-20,paid_search,16526.92
2026-01-20,paid_social,8995.44
2026-01-20,email,1620.55
2026-01-20,referral,3145.23
2026-01-20,influencer,6567.49
2026-01-21,paid_search,14216.1
2026-01-21,paid_social,11651.58
2026-01-21,email,2089.05
2026-01-21,referral,4038.78
2026-01-21,influencer,5664.95
2026-01-22,paid_search,16199.99
2026-01-22,paid_social,11871.33
