payment_id,user_id,payment_date,payment_status,amount,monthly_price
PAY000001,U000004,2026-02-17,paid,990.0,990
PAY000002,U000012,2026-06-26,paid,2980.0,1490
PAY000003,U000016,2026-01-27,paid,2980.0,1490
PAY000004,U000019,2026-04-16,paid,1490.0,1490
PAY000005,U000020,2026-06-26,paid,1990.0,1990
PAY000006,U000031,2026-04-04,paid,1490.0,1490
PAY000007,U000037,2026-03-16,paid,1490.0,1490
PAY000008,U000039,2026-06-08,paid,990.0,990
PAY000009,U000040,2026-07-08,paid,1490.0,1490
PAY000010,U000043,2026-04-07,paid,990.0,990
PAY000011,U000047,2026-03-07,paid,990.0,990
PAY000012,U000059,2026-04-10,paid,1490.0,1490
PAY000013,U000063,2026-04-17,refunded,990.0,990
PAY000014,U000069,2026-04-13,paid,990.0,990
PAY000015,U000071,2026-04-10,paid,990.0,990
PAY000016,U000072,2026-05-30,paid,990.0,990
PAY000017,U000077,2026-03-15,paid,1490.0,1490
PAY000018,U000081,2026-03-21,refunded,1990.0,1990
PAY000019,U000082,2026-01-23,paid,990.0,990
PAY000020,U000083,2026-06-22,paid,1490.0,1490
PAY000021,U000091,2026-04-04,paid,1990.0,1990
PAY000022,U000098,2026-02-04,paid,990.0,990
PAY000023,U000103,2026-05-22,paid,990.0,990
PAY000024,U000109,2026-07-05,paid,1990.0,1990
PAY000025,U000110,2026-06-17,paid,1490.0,1490
PAY000026,U000112,2026-05-13,paid,1990.0,1990
PAY000027,U000120,2026-05-07,paid,990.0,990
PAY000028,U000121,2026-05-26,paid,3980.0,1990
PAY000029,U000126,2026-04-17,paid,990.0,990
PAY000030,U000128,2026-05-29,paid,1490.0,1490
PAY000031,U000129,2026-04-16,paid,1490.0,1490
PAY000032,U000133,2026-02-06,paid,990.0,990
PAY000033,U000135,2026-03-02,paid,2980.0,1490
PAY000034,U000137,2026-03-10,paid,1990.0,1990
PAY000035,U000142,2026-05-20,paid,2980.0,1490
PAY000036,U000145,2026-03-04,paid,1490.0,1490
PAY000037,U000146,2026-07-07,paid,2990.0,2990
PAY000038,U000148,2026-06-30,paid,990.0,990
PAY000039,U000151,2026-02-19,paid,1490.0,1490
PAY000040,U000152,2026-01-18,paid,990.0,990
PAY000041,U000154,2026-01-25,paid,1990.0,1990
PAY000042,U000155,2026-02-05,paid,990.0,990
PAY000043,U000169,2026-05-18,paid,990.0,990
PAY000044,U000170,2026-04-08,paid,1990.0,1990
PAY000045,U000171,2026-05-12,paid,2980.0,1490
PAY000046,U000175,2026-03-22,paid,990.0,990
PAY000047,U000180,2026-04-21,paid,1490.0,1490
PAY000048,U000182,2026-01-10,paid,990.0,990
PAY000049,U000186,2026-01-26,paid,2980.0,1490
PAY000050,U000187,2026-05-26,paid,1990.0,1990
PAY000051,U000190,2026-03-22,paid,1490.0,1490
PAY000052,U000198,2026-06-13,paid,990.0,990
PAY000053,U000208,2026-06-10,paid,990.0,990
PAY000054,U000227,2026-03-03,paid,1490.0,1490
PAY000055,U000230,2026-04-22,paid,1490.0,1490
