ticket_id,user_id,created_at,topic,priority,resolution_hours,csat
T000001,U000001,2026-02-08 08:04:00,account,high,31.45,4.0
T000002,U000027,2026-06-03 08:40:00,technical_issue,low,16.88,3.0
T000003,U000036,2026-02-16 10:07:00,refund,high,14.52,3.0
T000004,U000039,2026-05-26 12:54:00,refund,low,9.78,4.0
T000005,U000050,2026-03-17 15:04:00,refund,medium,12.09,4.0
T000006,U000063,2026-05-06 16:37:00,course_content,low,22.9,3.0
T000007,U000067,2026-03-30 22:35:00,course_content,low,9.82,5.0
T000008,U000069,2026-05-01 19:26:00,technical_issue,low,12.55,5.0
T000009,U000069,2026-04-25 20:30:00,technical_issue,medium,2.13,5.0
T000010,U000072,2026-06-09 12:58:00,course_content,low,11.88,5.0
T000011,U000099,2026-07-03 08:22:00,technical_issue,medium,23.26,4.0
T000012,U000124,2026-03-31 11:20:00,technical_issue,medium,19.49,3.0
T000013,U000127,2026-04-04 13:52:00,account,medium,7.43,3.0
T000014,U000140,2026-07-03 22:04:00,payment,low,10.1,4.0
T000015,U000158,2026-04-22 15:27:00,refund,low,27.92,5.0
T000016,U000159,2026-05-20 11:17:00,account,medium,24.56,4.0
T000017,U000167,2026-05-04 14:06:00,account,low,14.06,3.0
T000018,U000167,2026-04-15 08:43:00,technical_issue,medium,18.59,3.0
T000019,U000175,2026-03-19 15:35:00,course_content,medium,34.05,3.0
T000020,U000189,2026-06-19 12:46:00,technical_issue,medium,16.04,4.0
T000021,U000199,2026-05-28 08:41:00,refund,medium,16.38,4.0
T000022,U000207,2026-06-27 14:02:00,technical_issue,medium,25.08,4.0
T000023,U000225,2026-07-28 20:57:00,payment,high,12.37,3.0
T000024,U000225,2026-07-11 13:45:00,payment,medium,1.0,3.0
T000025,U000225,2026-07-20 17:55:00,technical_issue,low,12.53,3.0
T000026,U000236,2026-03-18 14:45:00,course_content,medium,7.51,5.0
T000027,U000254,2026-05-28 19:12:00,course_content,low,11.05,4.0
T000028,U000257,2026-04-03 15:52:00,technical_issue,high,52.67,5.0
T000029,U000257,2026-04-01 20:40:00,technical_issue,medium,10.68,5.0
T000030,U000260,2026-01-25 20:10:00,payment,high,46.86,3.0
T000031,U000268,2026-07-10 16:53:00,refund,low,15.0,4.0
T000032,U000285,2026-06-03 10:59:00,payment,low,15.99,4.0
T000033,U000294,2026-06-14 21:09:00,technical_issue,medium,19.22,5.0
T000034,U000307,2026-04-26 17:29:00,payment,low,4.04,4.0
T000035,U000312,2026-06-19 10:26:00,payment,high,7.98,5.0
T000036,U000314,2026-06-25 17:41:00,technical_issue,low,8.87,2.0
T000037,U000321,2026-04-05 19:41:00,payment,low,67.99,1.0
T000038,U000321,2026-04-03 12:16:00,technical_issue,low,19.88,1.0
T000039,U000321,2026-04-09 12:26:00,course_content,medium,18.96,1.0
