user_id,signup_date,cohort_month,channel,device,region,user_segment,age,prior_python_score,prior_sql_score,experiment_group,assigned_at,sessions_7d,lessons_started_7d,lessons_completed_7d,study_minutes_7d,activated_7d,paywall_seen,trial_started,paid_14d,monthly_price,revenue_30d,refund_30d,payment_failed,retained_30d,retained_60d,churned_60d,support_tickets_30d,csat,nps_score,quiz_score_after,marketing_spend_user,is_test_account
U000001,2026-02-07,2026-02,organic,mobile_web,Other,career_switcher,30.0,39.6,57.0,control,2026-02-07,4,6,3,132.0,True,True,False,False,0,0.0,False,False,True,True,False,1,4.0,7.0,59.9,0.0,False
U000002,2026-05-26,2026-05,organic,ios,Moscow,junior_analyst,23.0,57.0,50.3,control,2026-05-27,3,4,2,86.6,False,True,False,False,0,0.0,False,False,False,False,False,0,,8.0,64.6,0.0,False
U000003,2026-03-12,2026-03,organic,ios,Moscow,career_switcher,35.0,36.5,31.2,control,2026-03-13,5,5,2,89.1,True,True,False,False,0,0.0,False,False,False,False,False,0,,9.0,52.7,0.0,False
U000004,2026-02-05,2026-02,organic,desktop,Moscow,student,22.0,60.9,3.4,smart_onboarding,2026-02-05,5,7,4,131.1,True,True,False,True,990,990.0,False,False,False,False,True,0,,7.0,42.9,0.0,False
U000005,2026-04-28,2026-04,organic,mobile_web,Moscow,career_switcher,27.0,70.2,39.7,control,2026-04-29,6,8,6,318.3,True,True,True,False,0,0.0,False,False,False,False,False,0,,9.0,83.4,0.0,False
U000006,2026-06-03,2026-06,paid_search,ios,Novosibirsk,student,27.0,40.0,51.4,smart_onboarding,2026-06-03,4,3,3,103.7,True,True,False,False,0,0.0,False,False,True,False,False,0,,9.0,67.9,479.93,False
U000007,2026-02-05,2026-02,paid_social,android,Kazan,career_switcher,19.0,52.2,27.2,control,2026-02-06,2,2,1,61.6,False,True,False,False,0,0.0,False,False,False,False,False,0,,4.0,45.2,423.75,False
U000008,2026-02-27,2026-02,referral,ios,Moscow,junior_analyst,21.0,16.8,67.3,smart_onboarding,2026-02-27,7,5,2,89.3,True,True,False,False,0,0.0,False,True,True,False,False,0,,6.0,63.9,102.82,False
U000009,2026-02-16,2026-02,paid_search,ios,Saint Petersburg,junior_analyst,24.0,72.3,25.5,control,2026-02-16,1,2,1,53.6,False,True,False,False,0,0.0,False,False,True,False,False,0,,4.0,70.4,485.61,False
U000010,2026-06-13,2026-06,organic,android,Moscow,student,36.0,59.0,42.3,control,2026-06-13,5,4,3,192.3,True,True,False,False,0,0.0,False,False,False,False,False,0,,7.0,56.3,0.0,False
