device,channel,users,paid_conversion,arpu,rn
android,email,200,0.26,477.1,1
android,influencer,124,0.22580645161290322,400.48387096774195,2
android,paid_search,365,0.2191780821917808,385.2328767123288,3
desktop,influencer,66,0.30303030303030304,557.1212121212121,1
desktop,referral,103,0.30097087378640774,482.0388349514563,2
desktop,email,138,0.2898550724637681,511.231884057971,3
ios,email,174,0.3160919540229885,579.3103448275862,1
ios,referral,189,0.24867724867724866,386.2962962962963,2
ios,influencer,126,0.24603174603174602,406.1111111111111,3
mobile_web,influencer,32,0.25,403.4375,1
mobile_web,referral,94,0.23404255319148937,788.5106382978723,2
mobile_web,organic,232,0.21551724137931033,364.0948275862069,3
